round_start_time,round_end_time,stage,match_id,game_number,match_winner,map_winner,map_loser,map_name,first_victor
05/05/22 19:10,05/05/22 19:16,2022: Kickoff Clash: Qualifiers,38971,1,Los Angeles Gladiators,Los Angeles Gladiators,New York Excelsior,Lijiang Tower,1
05/05/22 21:01,05/05/22 21:05,2022: Kickoff Clash: Qualifiers,38972,1,San Francisco Shock,San Francisco Shock,Vegas Eternal,Ilios,1
05/05/22 22:23,05/05/22 22:28,2022: Kickoff Clash: Qualifiers,38973,1,Atlanta Reign,Florida Mayhem,Atlanta Reign,Lijiang Tower,0
05/06/22 19:06,05/06/22 19:10,2022: Kickoff Clash: Qualifiers,38975,1,San Francisco Shock,San Francisco Shock,London Spitfire,Lijiang Tower,1
05/06/22 20:25,05/06/22 20:31,2022: Kickoff Clash: Qualifiers,38974,1,Boston Uprising,Boston Uprising,Vancouver Titans,Ilios,1
05/06/22 23:05,05/06/22 23:10,2022: Kickoff Clash: Qualifiers,38976,1,Houston Outlaws,Houston Outlaws,Dallas Fuel,Oasis,1
05/07/22 19:06,05/07/22 19:10,2022: Kickoff Clash: Qualifiers,38977,1,Washington Justice,Toronto Defiant,Washington Justice,Ilios,0
05/07/22 20:33,05/07/22 20:37,2022: Kickoff Clash: Qualifiers,38978,1,Atlanta Reign,Atlanta Reign,New York Excelsior,Oasis,1
05/07/22 21:50,05/07/22 21:55,2022: Kickoff Clash: Qualifiers,38979,1,Los Angeles Gladiators,Los Angeles Gladiators,Boston Uprising,Ilios,1
05/08/22 19:06,05/08/22 19:10,2022: Kickoff Clash: Qualifiers,38980,1,London Spitfire,London Spitfire,Vancouver Titans,Oasis,1
05/08/22 20:30,05/08/22 20:34,2022: Kickoff Clash: Qualifiers,38981,1,Florida Mayhem,Florida Mayhem,Vegas Eternal,Oasis,1
05/08/22 22:41,05/08/22 22:45,2022: Kickoff Clash: Qualifiers,38982,1,Dallas Fuel,Dallas Fuel,Washington Justice,Lijiang Tower,1
05/08/22 23:49,05/08/22 23:53,2022: Kickoff Clash: Qualifiers,38983,1,Toronto Defiant,Toronto Defiant,Houston Outlaws,Lijiang Tower,1
05/13/22 19:09,05/13/22 19:15,2022: Kickoff Clash: Qualifiers,38984,1,Florida Mayhem,Florida Mayhem,Vancouver Titans,Colosseo,1
05/13/22 20:20,05/13/22 20:27,2022: Kickoff Clash: Qualifiers,38985,1,San Francisco Shock,San Francisco Shock,Houston Outlaws,New Queen Street,1
05/13/22 21:57,05/13/22 22:06,2022: Kickoff Clash: Qualifiers,38986,1,Washington Justice,Washington Justice,Atlanta Reign,Colosseo,1
05/14/22 19:05,05/14/22 19:14,2022: Kickoff Clash: Qualifiers,38987,1,London Spitfire,Boston Uprising,London Spitfire,Colosseo,0
05/14/22 20:53,05/14/22 21:01,2022: Kickoff Clash: Qualifiers,38988,1,Dallas Fuel,Los Angeles Gladiators,Dallas Fuel,Colosseo,0
05/14/22 22:52,05/14/22 23:00,2022: Kickoff Clash: Qualifiers,38989,1,New York Excelsior,Vancouver Titans,New York Excelsior,New Queen Street,0
05/15/22 19:05,05/15/22 19:13,2022: Kickoff Clash: Qualifiers,38990,1,Houston Outlaws,Houston Outlaws,Florida Mayhem,Colosseo,1
05/15/22 20:56,05/15/22 21:05,2022: Kickoff Clash: Qualifiers,38991,1,San Francisco Shock,San Francisco Shock,New York Excelsior,New Queen Street,1
05/15/22 22:32,05/15/22 22:41,2022: Kickoff Clash: Qualifiers,38992,1,Toronto Defiant,Toronto Defiant,Vegas Eternal,New Queen Street,1
05/20/22 10:05,05/20/22 10:14,2022: Kickoff Clash: Qualifiers,39011,1,Seoul Infernal,Seoul Infernal,Shanghai Dragons,New Queen Street,1
05/20/22 11:29,05/20/22 11:38,2022: Kickoff Clash: Qualifiers,39016,1,Guangzhou Charge,Guangzhou Charge,Los Angeles Valiant,Colosseo,1
05/20/22 13:02,05/20/22 13:10,2022: Kickoff Clash: Qualifiers,39017,1,Hangzhou Spark,Hangzhou Spark,Seoul Dynasty,New Queen Street,1
05/20/22 19:07,05/20/22 19:12,2022: Kickoff Clash: Qualifiers,38993,1,Washington Justice,Washington Justice,Vegas Eternal,Lijiang Tower,1
05/20/22 20:51,05/20/22 21:11,2022: Kickoff Clash: Qualifiers,38994,1,Florida Mayhem,Florida Mayhem,New York Excelsior,Ilios,1
05/20/22 22:36,05/20/22 22:39,2022: Kickoff Clash: Qualifiers,38995,1,Dallas Fuel,Dallas Fuel,Toronto Defiant,Oasis,1
05/21/22 10:05,05/21/22 10:14,2022: Kickoff Clash: Qualifiers,39012,1,Chengdu Hunters,Chengdu Hunters,Guangzhou Charge,Colosseo,1
05/21/22 11:17,05/21/22 11:25,2022: Kickoff Clash: Qualifiers,39027,1,Shanghai Dragons,Hangzhou Spark,Shanghai Dragons,Colosseo,0
05/21/22 13:19,05/21/22 13:28,2022: Kickoff Clash: Qualifiers,39025,1,Seoul Dynasty,Los Angeles Valiant,Seoul Dynasty,Colosseo,0
05/21/22 19:07,05/21/22 19:10,2022: Kickoff Clash: Qualifiers,38996,1,Houston Outlaws,Houston Outlaws,London Spitfire,Ilios,1
05/21/22 20:30,05/21/22 20:33,2022: Kickoff Clash: Qualifiers,38997,1,San Francisco Shock,Los Angeles Gladiators,San Francisco Shock,Oasis,0
05/21/22 22:35,05/21/22 22:40,2022: Kickoff Clash: Qualifiers,38998,1,Toronto Defiant,Boston Uprising,Toronto Defiant,Lijiang Tower,0
05/22/22 10:05,05/22/22 10:10,2022: Kickoff Clash: Qualifiers,39029,1,Seoul Infernal,Seoul Infernal,Guangzhou Charge,Oasis,1
05/22/22 11:28,05/22/22 11:35,2022: Kickoff Clash: Qualifiers,39028,1,Seoul Dynasty,Seoul Dynasty,Chengdu Hunters,Ilios,1
05/22/22 12:57,05/22/22 13:02,2022: Kickoff Clash: Qualifiers,39015,1,Hangzhou Spark,Los Angeles Valiant,Hangzhou Spark,Lijiang Tower,0
05/22/22 19:07,05/22/22 19:11,2022: Kickoff Clash: Qualifiers,38999,1,Atlanta Reign,Atlanta Reign,Vancouver Titans,Ilios,1
05/22/22 20:29,05/22/22 20:34,2022: Kickoff Clash: Qualifiers,39000,1,Dallas Fuel,Dallas Fuel,Vegas Eternal,Ilios,1
